profession,job_length,state,homeownership, annual_income ,debt_to_income,earliest_credit_line,total_credit_lines,total_credit_limit, total_credit_utilized ,loan_purpose, loan_amount,term,interest_rate, installment , total_payment , 10% of monthly , Bitcoin strategy ,issue_month
,,GA,MORTGAGE,"17,200",20.96,2011,8,87348,"9,535",debt_consolidation,9525,36,15.05,330,13826,33,,18-Feb
licensing specialist,0,GA,RENT,"45,000",20.89,2011,7,68100,"53,631",debt_consolidation,19000,36,9.43,608,24375,61,,18-Mar
night shift associate,4,AK,RENT,"22,800",20.68,2011,10,11500,"8,130",medical,10000,36,15.04,347,14512,35,,18-Mar
assistant principal,1,NC,RENT,"55,000",20.66,2011,5,39818,"12,244",debt_consolidation,10000,36,10.41,325,13123,32,,18-Feb
landscape designer/arborist,3,WA,RENT,"65,000",20.62,2011,18,70175,"52,975",credit_card,15000,60,13.58,346,25185,35,,18-Mar
,,NV,MORTGAGE,"60,000",20.56,2011,13,262238,"41,516",medical,12000,36,9.43,384,15395,38,,18-Mar
network administrator,4,CO,RENT,"45,000",20.25,2011,18,89176,"84,804",other,5000,36,14.08,171,7112,17,,18-Jan
human resources manager,3,FL,RENT,"90,000",20.19,2011,11,68250,"51,576",credit_card,10000,36,10.42,325,13126,32,,18-Jan
warehouse team member ,2,OH,RENT,"45,000",20.11,2011,9,38891,"22,268",debt_consolidation,6000,36,9.93,193,7787,19,,18-Jan
sales operation,1,CA,RENT,"60,000",20.1,2011,11,60949,"31,712",debt_consolidation,11000,36,7.34,341,13422,34,,18-Mar
owner,10,CA,MORTGAGE,"40,000",19.98,2011,24,87000,"27,329",debt_consolidation,13000,60,12.62,293,21203,29,,18-Jan
relationship manager,1,FL,RENT,"80,000",19.92,2011,19,69706,"33,212",credit_card,14000,36,10.91,458,18582,46,,18-Jan
painter,4,NY,RENT,"44,500",19.85,2011,13,62726,"52,483",debt_consolidation,17000,60,20,450,34000,45,,18-Feb
data analyst,5,AZ,RENT,"40,000",19.62,2011,15,34937,"24,973",debt_consolidation,10000,60,19.03,260,19515,26,,18-Feb
shiping and receiving,1,CA,RENT,"40,000",19.44,2011,17,29939,"12,499",debt_consolidation,25000,60,23.88,717,54850,72,,18-Jan
park supervisor 1,10,NY,RENT,"42,000",19.43,2011,9,51991,"24,313",moving,3500,36,7.97,110,4337,11,,18-Feb
events coordiantor,1,OK,RENT,"58,000",19.34,2011,10,46590,"35,573",credit_card,9000,36,6.72,277,10814,28,,18-Jan
software engineer,0,NJ,RENT,"140,000",19.21,2011,16,126492,"54,449",debt_consolidation,25000,36,14.08,855,35560,86,,18-Jan
licensed vocational nurse,2,CA,RENT,"35,000",19.03,2011,10,48808,"21,873",debt_consolidation,7200,36,15.04,250,10449,25,,18-Mar
,,CA,RENT,"76,000",18.88,2011,13,43707,"13,577",credit_card,16000,36,9.44,512,20531,51,,18-Feb
assistant manager,1,NC,MORTGAGE,"50,000",18.43,2011,20,191018,"35,408",home_improvement,5000,36,16.02,176,7403,18,,18-Jan
owner,2,TX,RENT,"60,000",18.36,2011,15,36564,"20,307",small_business,6000,36,13.59,204,8446,20,,18-Jan
outside sales,1,TX,RENT,"50,000",18.34,2011,12,60021,"50,714",debt_consolidation,9000,36,10.41,292,11811,29,,18-Mar
evaluation analyst,5,NC,RENT,"42,000",18.26,2011,9,33347,"20,518",debt_consolidation,15000,60,14.08,350,25560,35,,18-Feb
warehouse associate ,6,TX,RENT,"35,000",18.24,2011,12,33316,"16,741",debt_consolidation,30000,60,30.17,974,75255,97,,18-Feb
air conditioning,2,FL,RENT,"25,000",18.24,2011,5,30653,"13,012",debt_consolidation,10000,60,17.09,249,18545,25,,18-Feb
plant manager,0,CA,RENT,"85,000",18.03,2011,10,49018,"28,621",debt_consolidation,23000,36,10.42,747,30190,75,,18-Feb
application support analyst,2,OH,RENT,"50,000",17.71,2011,20,63614,"47,000",debt_consolidation,3200,36,21.45,121,5259,12,,18-Jan
manager,8,NY,RENT,"26,500",17.66,2011,10,68100,"59,749",other,20200,36,18.06,731,31144,73,,18-Jan
recruiting coordinator & sourcer,0,CA,RENT,"71,000",17.49,2011,17,43220,"37,585",moving,3600,36,20.39,135,5802,13,,18-Feb
front office manager,10,TX,MORTGAGE,"88,932",17.42,2011,12,226673,"41,134",credit_card,14000,60,9.93,297,20951,30,,18-Jan
assistant professor ,1,NM,RENT,"80,000",17.32,2011,16,115315,"50,974",credit_card,7500,36,5.32,226,8697,23,,18-Feb
new accounts rep ,4,TX,MORTGAGE,"31,700",17.31,2011,17,74275,"13,299",debt_consolidation,13000,36,13.59,442,18300,44,,18-Feb
floor tech,4,MA,RENT,"30,000",17.24,2011,9,31400,"18,096",debt_consolidation,10000,36,11.99,332,13597,33,,18-Feb
intern pharmacist,3,FL,RENT,"52,000",17.19,2011,12,250825,"256,705",debt_consolidation,4000,36,20.39,149,6447,15,,18-Mar
business manager,10,MO,MORTGAGE,"129,000",17.19,2011,18,389325,"136,811",home_improvement,40000,60,9.44,839,58880,84,,18-Feb
store manager,6,TX,RENT,"45,000",16.99,2011,15,39450,"24,238",debt_consolidation,11000,36,18.45,400,17089,40,,18-Mar
feeder,9,IN,MORTGAGE,"45,000",16.83,2011,10,21400,"17,007",debt_consolidation,15000,36,15.05,520,21773,52,,18-Jan
quality assurance,0,OH,RENT,"65,000",16.77,2011,10,47753,"31,838",moving,1000,36,16.02,35,1481,4,,18-Jan
medical records and medical billing,3,PA,RENT,"55,000",16.56,2011,14,42900,"21,517",debt_consolidation,16000,60,16.01,389,28808,39,,18-Feb
claims assistant,0,IL,RENT,"51,000",16.52,2011,16,54400,"37,240",debt_consolidation,6000,36,14.08,205,8534,21,,18-Jan
dock worker,0,MN,RENT,"42,000",16.46,2011,12,29033,"18,399",debt_consolidation,20000,36,16.02,703,29612,70,,18-Mar
technician,9,CA,RENT,"50,000",16.37,2011,5,26700,"14,938",debt_consolidation,15000,36,6.08,457,17736,46,,18-Jan
supervisor,0,MA,MORTGAGE,"63,000",16.36,2011,8,263996,"13,725",debt_consolidation,10000,36,7.96,313,12388,31,,18-Mar
asst to the director of theatre,3,KY,RENT,"24,000",16.3,2011,11,54966,"42,068",major_purchase,10450,60,19.42,274,20597,27,,18-Mar
nurse,2,MA,RENT,"125,000",16.21,2011,22,85425,"55,427",credit_card,15000,36,10.91,490,19910,49,,18-Jan
it system administrator,7,CA,RENT,"72,000",16.17,2011,18,48191,"28,922",debt_consolidation,6800,36,17.09,243,10286,24,,18-Feb
interior concept designer,1,GA,RENT,"65,000",15.94,2011,20,79132,"75,734",credit_card,10000,36,9.93,322,12979,32,,18-Jan
senior business analyst,6,NC,MORTGAGE,"110,000",15.91,2011,20,343926,"42,888",debt_consolidation,6000,36,19.03,220,9425,22,,18-Jan
clinical manager,6,IL,MORTGAGE,"91,000",15.88,2011,19,300957,"43,540",other,10000,36,14.08,342,14224,34,,18-Jan
operations manager,4,NY,RENT,"48,000",15.82,2011,10,59592,"19,902",debt_consolidation,5000,36,6.71,154,6007,15,,18-Feb
warehouse manager,5,CA,RENT,"42,000",15.73,2011,11,419821,"25,234",home_improvement,9100,36,26.77,370,16408,37,,18-Mar
driver,4,NY,RENT,"50,000",15.7,2011,6,42736,"20,049",credit_card,16000,36,7.35,497,19528,50,,18-Jan
kitchen manager,10,CA,RENT,"65,000",15.56,2011,12,45432,"38,668",debt_consolidation,20000,36,17.09,714,30254,71,,18-Feb
fuels systems journeyman,9,TX,RENT,"77,000",15.4,2011,12,262801,"25,586",credit_card,1800,36,12.62,60,2481,6,,18-Feb
sales assistant,3,NY,RENT,"55,000",15.37,2011,18,61370,"54,853",other,1500,36,18.06,54,2313,5,,18-Jan
server,3,FL,RENT,"30,000",15.36,2011,6,30805,"12,687",credit_card,16800,36,20.39,628,27077,63,,18-Mar
office manager,5,TN,RENT,"86,000",15.17,2011,20,99341,"40,210",other,35500,60,9.44,745,52256,74,,18-Jan
master trainer,4,NY,RENT,"140,000",15.02,2011,12,148869,"82,775",other,23100,36,9.44,739,29642,74,,18-Feb
airport supervisor ,4,NY,MORTGAGE,"95,000",14.74,2011,12,339837,"33,905",debt_consolidation,30000,60,13.59,692,50385,69,,18-Feb
service technician ,0,MA,RENT,"90,000",14.67,2011,17,50368,"29,148",credit_card,16500,60,16.02,401,29717,40,,18-Feb
driver,2,FL,RENT,"56,000",14.53,2011,17,45079,"29,521",debt_consolidation,18000,36,12.62,603,24815,60,,18-Feb
driver ,7,NC,MORTGAGE,"60,000",14.26,2011,12,218938,"41,796",debt_consolidation,13000,60,16.02,316,23413,32,,18-Feb
tech support specialist,2,FL,OWN,"43,000",14.23,2011,33,53661,"49,538",debt_consolidation,4800,36,7.35,149,5858,15,,18-Jan
patient services,0,CA,OWN,"58,000",14.08,2011,6,31959,"23,651",debt_consolidation,24000,36,20.39,897,38681,90,,18-Mar
cpc medical coder,2,AZ,MORTGAGE,"52,400",14.04,2011,15,372413,"24,474",debt_consolidation,21000,60,15.04,500,36792,50,,18-Mar
director,5,FL,OWN,"60,000",14,2011,21,46151,"19,872",debt_consolidation,16000,36,9.93,516,20766,52,,18-Jan
machine operator ,2,GA,MORTGAGE,"47,000",13.92,2011,6,29447,"21,443",credit_card,14000,36,11.99,465,19036,46,,18-Jan
store manager,6,FL,MORTGAGE,"90,000",13.89,2011,19,309058,"51,254",credit_card,35000,36,10.41,"1,136",45931,114,,18-Mar
sales/it consulting ,2,IL,RENT,"65,000",13.88,2011,9,78323,"64,464",credit_card,8500,36,9.44,272,10907,27,,18-Feb
qa analyst,6,MS,RENT,"51,000",13.79,2011,8,23500,"13,115",debt_consolidation,17000,36,20,632,27200,63,,18-Jan
facility maintanace,3,MO,RENT,"39,000",13.72,2011,15,28800,"12,744",credit_card,16000,36,12.61,536,22053,54,,18-Mar
addiction specialist,0,CA,OWN,"22,800",13.68,2011,9,17400,"10,225",debt_consolidation,12000,60,15.04,286,21024,29,,18-Mar
utility worker i,10,MD,OWN,"40,000",13.53,2011,13,33080,"17,156",debt_consolidation,33725,36,6.08,"1,027",39876,103,,18-Jan
technician,0,FL,MORTGAGE,"163,000",13.35,2011,26,247883,"86,410",debt_consolidation,24000,36,5.32,723,27830,72,,18-Jan
teacher,2,UT,RENT,"34,000",13.2,2011,8,20577,"18,633",credit_card,1200,36,10.9,39,1592,4,,18-Mar
marketing coordinator,4,GA,RENT,"40,000",13.2,2011,14,40067,"35,537",other,6000,36,9.44,192,7699,19,,18-Jan
manager,5,MA,RENT,"50,000",13.17,2011,20,181092,"21,211",credit_card,15000,60,26.77,456,35078,46,,18-Mar
store manager,2,OH,MORTGAGE,"43,000",13.17,2011,16,171724,"40,566",credit_card,16000,60,16.01,389,28808,39,,18-Mar
machinist mate third class,3,VA,RENT,"42,000",13.11,2011,9,23982,"14,873",credit_card,12000,36,5.31,361,13912,36,,18-Feb
cardiovascular technician,10,AZ,OWN,"54,000",12.98,2011,8,36739,"27,830",debt_consolidation,4800,36,10.91,157,6371,16,,18-Jan
warehouse inventory,3,CA,OWN,"46,000",12.78,2011,3,28000,"24,486",major_purchase,5000,36,14.07,171,7111,17,,18-Mar
marketing director ,8,NC,RENT,"64,000",12.51,2011,13,286500,"28,261",other,40000,60,9.43,839,58860,84,,18-Mar
information technology,4,NJ,RENT,"39,000",12.47,2011,26,72210,"42,694",credit_card,5600,36,9.44,179,7186,18,,18-Jan
aircraft mechanic,3,NV,MORTGAGE,"95,000",12.44,2011,9,328319,"31,973",credit_card,7000,36,6.07,213,8275,21,,18-Feb
teacher,1,LA,RENT,"56,000",12.43,2011,19,38500,"37,123",debt_consolidation,14000,36,9.44,448,17965,45,,18-Jan
president / owner ,10,TX,MORTGAGE,"31,972",12.34,2011,10,40253,"9,757",other,30750,36,9.44,984,39458,98,,18-Feb
manager,9,AK,OWN,"35,000",12.31,2011,31,421180,"8,701",debt_consolidation,19000,36,6.71,584,22825,58,,18-Mar
owner,4,WI,RENT,"50,000",12.17,2011,23,52853,"29,489",credit_card,12000,36,15.05,416,17418,42,,18-Jan
crr,0,CO,RENT,"38,400",12.13,2011,14,21521,"9,627",debt_consolidation,10000,60,15.05,238,17525,24,,18-Feb
supervisor,4,MN,OWN,"42,000",11.82,2011,8,153683,"9,981",debt_consolidation,11000,60,15.05,262,19278,26,,18-Feb
clinic manager ,0,TX,RENT,"60,000",11.61,2011,12,30561,"18,999",renewable_energy,16000,60,26.77,486,37416,49,,18-Mar
,,CA,OWN,"45,001",11.52,2011,9,15000,"13,186",medical,18000,36,20.39,673,29011,67,,18-Mar
director,0,NJ,MORTGAGE,"140,000",11.5,2011,31,592796,"46,070",debt_consolidation,18000,60,11.98,400,28782,40,,18-Mar
therapist,2,FL,OWN,"175,000",11.36,2011,20,79572,"39,704",home_improvement,40000,36,10.91,"1,308",53092,131,,18-Feb
director of food & nutrition ,4,IN,MORTGAGE,"90,000",11.31,2011,11,246413,"34,948",debt_consolidation,20000,60,21.45,546,41450,55,,18-Feb
technician,1,NY,MORTGAGE,"52,000",11.29,2011,12,114149,"29,831",home_improvement,10400,36,6.72,320,12497,32,,18-Jan
deployment coordinator,0,NJ,RENT,"120,000",11.13,2011,11,43995,"20,051",vacation,21000,60,19.03,545,40982,55,,18-Feb
floor layer,3,MO,MORTGAGE,"100,000",10.9,2011,18,236103,"34,229",debt_consolidation,20000,36,16.01,703,29606,70,,18-Feb
team leader ,7,NH,MORTGAGE,"85,000",10.81,2011,24,323739,"31,779",home_improvement,10000,36,6.72,308,12016,31,,18-Jan
engineer,0,OH,RENT,"98,000",10.74,2011,25,128452,"64,490",debt_consolidation,40000,36,7.34,"1,241",48808,124,,18-Mar
owner,8,MO,MORTGAGE,"193,783",10.57,2011,11,478961,"65,094",credit_card,9000,36,11.99,299,12237,30,,18-Jan
assistant principal,4,TX,RENT,"90,000",10.44,2011,14,68879,"20,071",small_business,25000,60,20,662,50000,66,,18-Feb
vp institutional sales,4,FL,RENT,"231,000",10.41,2011,6,112637,"44,738",debt_consolidation,34950,36,6.08,"1,065",41325,106,,18-Jan
vice president,6,CA,RENT,"140,000",10.38,2011,18,83274,"41,888",debt_consolidation,30000,36,10.91,981,39819,98,,18-Jan
machine operator,1,NH,RENT,"35,360",10.35,2011,7,20800,"13,058",other,15000,36,13.58,510,21111,51,,18-Feb
applications developer,0,CA,RENT,"200,000",10.31,2011,17,81873,"52,433",major_purchase,20000,36,11.98,664,27188,66,,18-Mar
sales,7,CA,RENT,"82,000",10.04,2011,12,45455,"32,946",major_purchase,6800,36,17.47,244,10364,24,,18-Mar
production and warehouse,5,OR,OWN,"23,000",9.71,2011,13,35300,"5,163",credit_card,16800,60,18.45,431,32298,43,,18-Mar
assistant director,5,FL,RENT,"97,000",9.39,2011,6,41863,"19,186",debt_consolidation,5000,36,6.08,152,5912,15,,18-Feb
registered nurse,1,RI,RENT,"59,000",9.32,2011,15,49000,"40,676",major_purchase,9800,36,10.9,320,13005,32,,18-Mar
accountant,5,NY,RENT,"60,000",9.24,2011,15,27540,"8,770",debt_consolidation,10000,36,14.08,342,14224,34,,18-Feb
iss rep,0,MI,OWN,"24,000",9.2,2011,10,15400,"4,503",debt_consolidation,3300,36,9.43,106,4234,11,,18-Mar
social worker,2,NY,RENT,"54,000",9.18,2011,14,205940,"186,451",credit_card,20000,60,16.01,486,36010,49,,18-Mar
home lending officer,2,CA,RENT,"120,000",8.63,2011,17,73972,"25,088",other,28000,60,12.61,632,45654,63,,18-Mar
kitchen helper,2,NY,RENT,"8,500",8.51,2011,15,16300,"2,030",other,7000,36,11.99,232,9518,23,,18-Jan
senior data engineer,10,OR,RENT,"120,000",8.17,2011,10,46574,"21,770",vacation,14400,36,7.34,447,17571,45,,18-Mar
software developer,5,CA,RENT,"7,500",8.16,2011,5,1800,720,medical,3000,36,19.42,111,4748,11,,18-Mar
rental consultant,5,CO,RENT,"60,000",8.16,2011,7,37269,"11,563",debt_consolidation,10000,36,6.72,308,12016,31,,18-Feb
truck driver ,2,FL,RENT,"70,000",8.02,2011,9,40100,"19,766",debt_consolidation,20000,36,10.42,649,26252,65,,18-Jan
systems analyst,3,MI,RENT,"65,000",8.02,2011,11,22534,"6,440",debt_consolidation,20000,36,9.44,640,25664,64,,18-Jan
commercial analyst,0,NJ,RENT,"70,020",7.88,2011,10,32900,"24,367",credit_card,5000,36,7.34,155,6101,16,,18-Feb
cna,1,IL,MORTGAGE,"35,000",7.51,2011,29,60500,"7,921",home_improvement,5000,36,18.06,181,7709,18,,18-Mar
,,MA,MORTGAGE,"92,000",7.5,2011,10,47142,"10,900",major_purchase,10000,36,7.96,313,12388,31,,18-Mar
rn,4,FL,MORTGAGE,"56,000",7.25,2011,17,220267,"42,241",other,40000,60,10.9,868,61800,87,,18-Mar
assistant professor,0,NY,RENT,"200,000",7.15,2011,15,70500,"20,183",credit_card,10000,36,6.08,305,11824,30,,18-Jan
licensed vocational nurse,1,CA,RENT,"50,000",7.06,2011,5,10300,"8,310",other,32000,60,18.45,820,61520,82,,18-Mar
operations manager,6,OH,MORTGAGE,"120,000",7.02,2011,25,177310,"47,753",other,16000,60,12.62,361,26096,36,,18-Jan
technical lead,2,NJ,MORTGAGE,"104,000",7.02,2011,15,283095,"24,850",debt_consolidation,40000,60,9.44,839,58880,84,,18-Feb
special education teacher,6,CA,RENT,"89,000",6.94,2011,14,53200,"9,510",major_purchase,6000,36,9.44,192,7699,19,,18-Jan
brand manager,5,FL,RENT,"70,000",6.93,2011,14,32982,"22,070",debt_consolidation,15000,36,14.08,513,21336,51,,18-Jan
owner,5,PA,RENT,"76,000",6.81,2011,7,25588,"19,159",other,3000,36,9.44,96,3850,10,,18-Jan
foreman,10,NY,MORTGAGE,"110,000",6.78,2011,8,112380,"18,915",credit_card,10000,36,6.72,308,12016,31,,18-Feb
instructor,2,NY,RENT,"45,000",6.71,2011,5,9300,"7,743",debt_consolidation,12000,60,19.03,311,23418,31,,18-Feb
,,CA,RENT,"85,500",6.58,2011,6,22100,"17,496",credit_card,30000,60,13.59,692,50385,69,,18-Jan
,,NY,RENT,"15,000",6.4,2011,10,4500,359,car,4200,36,20.39,157,6769,16,,18-Mar
manager,6,CA,RENT,"109,688",6.4,2011,12,59926,"8,018",home_improvement,30000,60,11.99,667,47985,67,,18-Jan
director special events,6,ID,OWN,"65,000",6.19,2011,8,192018,"4,766",debt_consolidation,20000,60,11.99,445,31990,44,,18-Jan
day care,1,NY,MORTGAGE,"36,000",6.1,2011,7,24300,"8,046",credit_card,10000,60,12.62,226,16310,23,,18-Feb
police officer ,10,TX,MORTGAGE,"63,000",6.04,2011,14,38100,"11,112",debt_consolidation,12000,36,6.71,369,14416,37,,18-Mar
project coordinator ,3,CA,RENT,"34,560",6.01,2011,8,8500,"5,105",debt_consolidation,5000,36,10.91,163,6637,16,,18-Feb
machinist ,4,CA,RENT,"48,750",5.32,2011,5,5905,"2,428",other,4200,36,19.42,155,6647,15,,18-Mar
driver,10,WV,RENT,"27,000",5.11,2011,5,5300,"3,501",house,20000,60,21.45,546,41450,55,,18-Feb
system director,7,NY,OWN,"90,000",5.06,2011,8,17420,"11,150",credit_card,35000,36,12.62,"1,173",48251,117,,18-Feb
designer,2,FL,RENT,"69,200",5.03,2011,21,17700,"5,276",medical,15000,36,9.43,480,19244,48,,18-Mar
analyst,6,MD,MORTGAGE,"65,000",4.87,2011,15,402717,"24,771",debt_consolidation,15000,36,9.44,480,19248,48,,18-Jan
analyst,2,CA,RENT,"46,000",4.51,2011,16,42232,"41,199",moving,1800,36,7.96,56,2230,6,,18-Mar
support manager,9,NC,OWN,"46,680",4.09,2011,12,32900,"6,659",credit_card,7000,36,6.72,215,8411,22,,18-Jan
director of laser sales,9,CA,MORTGAGE,"320,000",3.69,2011,11,56788,"14,834",debt_consolidation,35000,36,7.97,"1,096",43369,110,,18-Jan
sales representative,7,NY,RENT,"50,000",3.62,2011,5,7800,"4,445",debt_consolidation,10000,36,20.39,374,16117,37,,18-Feb
admin assistant,0,AZ,MORTGAGE,"37,500",3.23,2011,5,211040,"2,529",debt_consolidation,18000,36,7.34,559,21964,56,,18-Mar
sole proprietor,10,MN,OWN,"45,000",2.99,2011,7,203255,"1,469",home_improvement,12500,36,7.34,388,15253,39,,18-Feb
supervisor,8,NY,MORTGAGE,"70,000",2.91,2011,17,13100,"2,718",home_improvement,5000,36,10.41,162,6562,16,,18-Feb
home health aide,5,IL,RENT,"30,000",2.74,2011,11,30800,"2,280",moving,15000,60,12.61,338,24458,34,,18-Mar
contract administrator,3,NY,MORTGAGE,"33,000",2.65,2011,22,145111,"48,349",other,4200,36,7.35,130,5126,13,,18-Feb
mobile support analyst,5,TX,RENT,"61,000",2.32,2011,8,45600,"39,445",other,13200,60,18.45,338,25377,34,,18-Mar
manager,7,CA,RENT,"57,500",1.98,2011,7,59562,"39,608",credit_card,21000,36,6.71,646,25227,65,,18-Mar
mechanic truck driver,1,LA,OWN,"48,000",1.5,2011,8,19900,"1,783",major_purchase,40000,36,7.35,"1,242",48820,124,,18-Feb
plumber,4,NY,RENT,"72,800",0.51,2011,6,8200,962,debt_consolidation,5000,36,9.93,161,6490,16,,18-Jan
criminal history,0,TN,RENT,"19,000",0,2011,9,40350,"31,377",other,1500,36,18.45,55,2330,5,,18-Mar
,,MS,RENT, -   ,,2012,14,31948,"21,563",debt_consolidation,11000,60,28.72,347,26796,35,,18-Feb
,,ID,MORTGAGE, -   ,,2012,14,127961,"14,440",home_improvement,8000,36,18.45,291,12428,29,,18-Feb
,,TX,RENT, -   ,,2012,5,8000,"3,724",debt_consolidation,23100,36,11.98,767,31402,77,,18-Mar
payroll ,4,MO,MORTGAGE,"42,000",53.46,2012,23,479115,"85,191",credit_card,29000,36,6.08,883,34290,88,,18-Jan
mechanic ,3,FL,RENT,"46,000",42.76,2012,25,123491,"82,041",debt_consolidation,20000,36,9.93,645,25958,64,,18-Feb
customer service re,1,PA,MORTGAGE,"44,500",39.89,2012,10,261601,"66,229",credit_card,20000,60,13.58,461,33580,46,,18-Mar
teacher,2,NH,RENT,"24,000",35.35,2012,14,105634,"93,168",other,1000,36,21.85,38,1656,4,,18-Mar
team leader,4,NJ,RENT,"30,000",34.72,2012,13,45429,"15,189",other,3000,36,10.9,98,3981,10,,18-Mar
machine operator,10,AL,OWN,"21,600",34.28,2012,7,39238,"17,236",debt_consolidation,10500,60,25.82,313,24056,31,,18-Jan
operations manager ii,10,GA,RENT,"68,200",34.08,2012,12,95597,"63,711",debt_consolidation,10000,36,9.93,322,12979,32,,18-Feb
retail associate ,6,FL,RENT,"20,000",32.11,2012,8,46540,"29,530",other,5000,36,16.02,176,7403,18,,18-Jan
,,CA,RENT,"7,800",32,2012,7,9600,"6,106",credit_card,10000,36,16.02,352,14806,35,,18-Jan
system analyst,9,IL,RENT,"40,000",31.62,2012,11,53700,"28,051",debt_consolidation,16000,36,15.05,555,23224,56,,18-Feb
cook,10,MI,RENT,"22,000",31.37,2012,10,38460,"23,576",major_purchase,4200,36,12.62,141,5790,14,,18-Feb
personal banker,6,NJ,RENT,"35,000",31,2012,13,51720,"20,039",debt_consolidation,5000,36,11.98,166,6797,17,,18-Mar
grounds crew,2,OH,RENT,"31,000",30.89,2012,8,46069,"32,817",debt_consolidation,8000,36,20,297,12800,30,,18-Jan
sales and support generalist,3,NY,RENT,"30,000",30.84,2012,20,61255,"39,905",debt_consolidation,8400,36,20,312,13440,31,,18-Feb
machine operator,1,CA,RENT,"35,000",30.76,2012,13,52652,"34,569",credit_card,12250,36,14.08,419,17424,42,,18-Jan
loan processor,2,MD,RENT,"40,000",30.36,2012,21,116935,"63,119",debt_consolidation,13000,60,13.59,300,21834,30,,18-Feb
lead teacher,2,CT,OWN,"34,000",30.27,2012,11,65916,"44,603",other,15000,60,12.62,338,24465,34,,18-Feb
barber,1,FL,MORTGAGE,"90,000",30.06,2012,23,283458,"112,814",debt_consolidation,20000,36,7.96,626,24776,63,,18-Feb
central supply clerk,10,HI,RENT,"35,000",29.75,2012,13,50537,"35,568",other,1000,36,21.85,38,1656,4,,18-Mar
senior analyst,10,IL,RENT,"71,000",29.53,2012,16,115970,"52,719",car,24000,60,10.9,521,37080,52,,18-Feb
commercial receivable specialist,0,MD,RENT,"50,000",29.4,2012,20,106613,"53,325",debt_consolidation,22000,60,18.06,559,41866,56,,18-Feb
driver,3,TX,RENT,"60,000",29.2,2012,16,97113,"27,755",other,10000,36,13.58,340,14074,34,,18-Mar
accounting clerk ,4,UT,RENT,"35,000",28.26,2012,21,76924,"47,557",credit_card,11000,36,7.34,341,13422,34,,18-Mar
human services,2,WV,RENT,"16,000",28.13,2012,7,22589,"13,530",other,10500,36,16.02,369,15546,37,,18-Jan
forman,3,NC,MORTGAGE,"47,000",28.06,2012,16,171743,"39,263",credit_card,2000,36,10.9,65,2654,7,,18-Mar
sales consultant,4,CA,RENT,"60,000",28.02,2012,15,78279,"50,398",debt_consolidation,11200,36,10.41,364,14698,36,,18-Mar
home manager,6,MI,RENT,"54,000",27.91,2012,29,60068,"38,331",debt_consolidation,6000,36,16.02,211,8884,21,,18-Feb
office manager ,1,CA,RENT,"41,000",27.43,2012,15,53595,"31,394",debt_consolidation,10800,60,19.03,280,21076,28,,18-Jan
office manager,2,MA,RENT,"32,000",27.19,2012,6,33184,"18,855",debt_consolidation,17000,60,16.02,414,30617,41,,18-Jan
category coordinator,3,FL,RENT,"33,000",27.16,2012,10,41290,"26,298",credit_card,10000,60,11.98,222,15990,22,,18-Mar
rn,1,VA,RENT,"80,000",27.05,2012,17,130575,"41,215",debt_consolidation,24000,60,11.99,534,38388,53,,18-Jan
associate project manager,5,WA,RENT,"90,000",26.8,2012,29,122065,"66,249",credit_card,8000,36,16.02,281,11845,28,,18-Jan
marketing director,0,FL,RENT,"36,800",26.55,2012,8,62827,"45,169",debt_consolidation,11000,36,9.93,355,14277,35,,18-Feb
team lead ,10,NC,OWN,"48,000",26.4,2012,12,59731,"41,867",credit_card,10000,36,12.62,335,13786,34,,18-Jan
correctional officer ,0,OH,RENT,"30,000",26.21,2012,21,90803,"77,786",debt_consolidation,6600,36,18.45,240,10253,24,,18-Mar
exec asst fo ceo,10,NY,RENT,"70,000",26.13,2012,9,87783,"44,305",debt_consolidation,12000,60,24.85,351,26910,35,,18-Feb
manager,5,CA,RENT,"50,000",25.99,2012,12,67341,"30,126",credit_card,15000,36,7.35,466,18308,47,,18-Feb
painter,3,CA,RENT,"80,000",25.98,2012,13,100280,"69,396",debt_consolidation,30000,60,14.07,699,51105,70,,18-Mar
loan processor,5,SC,MORTGAGE,"27,480",24.89,2012,15,102277,"19,315",debt_consolidation,3200,36,16.01,113,4737,11,,18-Feb
,,FL,RENT,"45,000",24.67,2012,11,61791,"45,502",debt_consolidation,10000,36,10.42,325,13126,32,,18-Jan
dist computer tech,4,TX,MORTGAGE,"29,000",24.63,2012,16,55845,"24,688",debt_consolidation,7500,36,12.62,251,10340,25,,18-Jan
field inspector,6,NY,MORTGAGE,"37,200",24.55,2012,12,97119,"25,103",credit_card,14400,60,18.06,366,27403,37,,18-Feb
banker,3,CA,RENT,"35,000",24.31,2012,12,45100,"24,084",debt_consolidation,12000,60,17.47,301,22482,30,,18-Mar
daycare teacher,2,AK,MORTGAGE,"21,000",24.19,2012,11,25300,"17,819",credit_card,24000,36,10.42,779,31502,78,,18-Jan
customer service manager,5,FL,RENT,"31,000",24.08,2012,11,45460,"25,308",debt_consolidation,10000,36,16.01,352,14803,35,,18-Mar
stocker ,4,MO,RENT,"30,000",24.08,2012,7,25200,"13,069",credit_card,9000,36,10.91,294,11946,29,,18-Feb
owner operator,5,MI,RENT,"80,000",23.73,2012,10,65382,"35,389",car,25000,60,16.02,608,45025,61,,18-Feb
